Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram (GB);Memory;Gpu;OpSys;Weight;Price_euros;Total Sales per Day (euros)
Lenovo;Yoga 720-15IKB;2 in 1 Convertible;15,6;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2;1899;7596
Lenovo;Yoga 920-13IKB;2 in 1 Convertible;13,9;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16;512GB SSD;Intel UHD Graphics 620;Windows 10;1,4;1849;7396
Dell;Inspiron 7567;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2,62;1479;7395
MSI;GS73VR 7RG;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1070;Windows 10;2,43;2449;7347
Asus;Rog Strix;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2,2;2449;7347
Lenovo;ThinkPad X1;2 in 1 Convertible;14;IPS Panel Touchscreen 2560x1440;Intel Core i7 6600U 2.6GHz;16;512GB SSD;Intel HD Graphics 520;Windows 10;2,8;2440;7320
Dell;Alienware 17;Gaming;17,3;4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;32;1TB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,36;3659,4;7318,8
MSI;GE72MVR 7RG;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2,9;2415;7245
MSI;GE63VR 7RE;Gaming;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2,4;1799;7196
Asus;Rog GL702VM-GC017T;Gaming;17,3;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2,73;1799;7196
Dell;Alienware 17;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;32;1TB SSD +  1TB HDD;Nvidia GeForce GTX 1070M;Windows 10;4,42;3588,8;7177,6
Asus;Rog G752VS-BA171T;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,3;2350;7050
Lenovo;ThinkPad X1;2 in 1 Convertible;14;IPS Panel Touchscreen 2560x1440;Intel Core i7 6500U 2.5GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1,27;2339;7017
Razer;Blade Pro;Gaming;14;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1TB SSD;Nvidia GeForce GTX 1060;Windows 10;1,95;3499;6998
Lenovo;Legion Y520-15IKBN;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1060;No OS;2,4;1398;6990
Asus;Rog GL502VS;Gaming;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2,34;2325;6975
Lenovo;ThinkPad T460s;Ultrabook;14;Full HD 1920x1080;Intel Core i7 6600U 2.6GHz;12;512GB SSD;Intel HD Graphics 520;Windows 7;1,4;2299;6897
Lenovo;ThinkPad Yoga;Ultrabook;12,5;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1,3;1713,49;6853,96
MSI;GT62VR 7RE;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2,94;2267,86;6803,58
Dell;XPS 13;Ultrabook;13,3;Quad HD+ / Touchscreen 3200x1800;Intel Core i7 7500U 2.7GHz;16;1TB SSD;Intel HD Graphics 620;Windows 10;1,2;2254;6762
HP;ZBook Studio;Workstation;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 6820HQ 2.7GHz;8;8GB SSD;Nvidia Quadro M1000M;Windows 10;2;2249;6747
Asus;ROG Strix;Gaming;15,6;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2,3;1649;6596
MSI;GP62M 7REX;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2,2;1299;6495
Lenovo;IdeaPad Y900-17ISK;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;32;512GB SSD +  1.0TB Hybrid;Nvidia GeForce GTX 980M;Windows 10;4,6;3240;6480
Asus;Rog G752VY-GC229T;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16;512GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;4,3;2150;6450
Asus;Rog GL702VS-GC095T;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2,9;2122;6366
Dell;Alienware 17;Gaming;17,3;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,36;3154;6308
Lenovo;Yoga 920-13IKB;2 in 1 Convertible;13,9;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16;512GB SSD;Intel UHD Graphics 620;Windows 10;1,4;2099;6297
Lenovo;Thinkpad X1;Ultrabook;14;IPS Panel Quad HD+ 2560x1440;Intel Core i7 6600U 2.6GHz;16;512GB SSD;Intel HD Graphics 520;Windows 10;1,1;2099;6297
MSI;GS63VR 7RF;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;1,8;2094,48;6283,44
Lenovo;ThinkPad P40;2 in 1 Convertible;14;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 6600U 2.6GHz;8;512GB SSD;Nvidia Quadro M500M;Windows 7;1,8;2050,38;6151,14
Lenovo;ThinkPad X1;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB Flash Storage;Intel HD Graphics 620;Windows 10;1,13;2049;6147
Lenovo;Thinkpad P71;Notebook;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia Quadro M620M;Windows 10;3,4;2999;5998
MSI;GP72M 7REX;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2,7;1492,8;5971,2
Asus;ZenBook Pro;Ultrabook;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;1,8;1983;5949
Asus;ROG Zephyrus;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;24;512GB SSD;Nvidia GeForce GTX1080;Windows 10;2,24;2968;5936
Dell;Precision 3520;Workstation;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 6820HQ 2.7GHz;16;256GB SSD;Nvidia Quadro M620;Windows 10;2,17;1975;5925
HP;EliteBook 1030;Ultrabook;13,3;IPS Panel Quad HD+ / Touchscreen 3200x1800;Intel Core M 6Y75 1.2GHz;16;512GB SSD;Intel HD Graphics 515;Windows 10;1,16;1965;5895
Asus;Zenbook UX390UA;Ultrabook;12,5;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;0,91;1950;5850
MSI;GS73VR Stealth;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2,43;1948,99;5846,97
Dell;XPS 13;Ultrabook;13,3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,29;1458;5832
Lenovo;Thinkpad T470p;Ultrabook;14;IPS Panel Full HD 2560x1440;Intel Core i7 7700HQ 2.8GHz;8;512GB SSD;Nvidia GeForce GT 940MX;Windows 10;1,7;1943;5829
Razer;Blade Pro;Gaming;14;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1060;Windows 10;1,95;2899;5798
Lenovo;ThinkPad P51;Workstation;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;512GB SSD;Nvidia Quadro M1200;Windows 10;2,67;1925;5775
Dell;Latitude 5490;Ultrabook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1,6;1149;5745
Dell;Alienware 17;Gaming;15,6;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,42;2868,99;5737,98
Dell;Latitude 5580;Notebook;15,6;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1,93;1426,66;5706,64
Dell;XPS 15;Notebook;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2,06;1899;5697
Lenovo;Thinkpad Yoga;2 in 1 Convertible;14;Touchscreen 2560x1440;Intel Core i7 7500U 2.7GHz;16;1TB SSD;Intel HD Graphics 620;Windows 10;1,42;2824;5648
Toshiba;Portege Z30T-C-133;Ultrabook;13,3;Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;16;512GB SSD;Intel HD Graphics 520;Windows 10;1,36;1877;5631
Dell;XPS 13;Ultrabook;13,3;Quad HD+ / Touchscreen 3200x1800;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1,23;1869;5607
MSI;GT80S 6QF-074US;Gaming;18,4;Full HD 1920x1080;Intel Core i7 6920HQ 2.9GHz;32;512GB SSD +  1TB HDD;Nvidia GTX 980 SLI;Windows 10;4,4;2799;5598
Dell;Alienware 17;Gaming;17,3;IPS Panel 2560x1440;Intel Core i7 7820HK 2.9GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,42;2799;5598
Lenovo;ThinkPad P51s;Workstation;15,6;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16;512GB SSD;Nvidia Quadro M520M;Windows 7;2,18;1855;5565
Toshiba;Tecra A50-D-11D;Notebook;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;2;1388;5552
Dell;Alienware 15;Gaming;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3,21;2774,63;5549,26
Dell;Alienware 17;Gaming;17,3;2560x1440;Intel Core i7 6820HK 2.7GHz;16;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1080;Windows 10;4,36;2758;5516
Lenovo;IdeaPad Y900-17ISK;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;16;256GB SSD +  1.0TB Hybrid;Nvidia GeForce GTX 980M;Windows 10;4,6;2749,99;5499,98
Dell;XPS 15;Notebook;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2;1829;5487
Lenovo;ThinkPad Yoga;2 in 1 Convertible;13,3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;1,37;1825;5475
MSI;GT73VR Titan;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7820HK 2.9GHz;16;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,14;2729;5458
Lenovo;Thinkpad T470;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;180GB SSD;Intel HD Graphics 620;Windows 10;1,7;1364;5456
Lenovo;Yoga 900-13ISK;2 in 1 Convertible;13,3;IPS Panel Quad HD+ / Touchscreen 3200x1800;Intel Core i7 6560U 2.2GHz;16;1TB SSD;Intel Iris Graphics 540;Windows 10;1,3;1799;5397
Asus;Q534UX-BHI7T19 (i7-7500U/16GB/2TB;2 in 1 Convertible;15,6;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7500U 2.7GHz;16;512GB SSD +  2TB HDD;Nvidia GeForce GTX 950M;Windows 10;2,3;1799;5397
Lenovo;ThinkPad L470;Notebook;14;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8;256GB SSD;Intel HD Graphics 520;Windows 7;2,02;1340;5360
Dell;Latitude 7480;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7600U 2.8GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,36;1775;5325
Dell;XPS 15;Notebook;15,6;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;32;1TB SSD;Nvidia GeForce GTX 1050;Windows 10;2,06;2639;5278
Asus;VivoBook S15;Ultrabook;15,6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Nvidia GeForce 940MX;Windows 10;1,7;1049,9;5249,5
Asus;Rog GL753VE-DS74;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2,99;1749;5247
Asus;Zenbook Flip;Ultrabook;13,3;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1,1;1748,9;5246,7
Lenovo;ThinkPad X1;Notebook;14;IPS Panel 2560x1440;Intel Core i7 6600U 2.6GHz;16;256GB SSD;Intel HD Graphics 520;Windows 7;1,1;2620;5240
Acer;Predator G9-793;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,2;2599;5198
Lenovo;Yoga 720-15IKB;2 in 1 Convertible;15,6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Intel HD Graphics 630;Windows 10;2;1299;5196
Dell;Inspiron 7579;2 in 1 Convertible;15,6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12;512GB SSD;Intel HD Graphics 620;Windows 10;2,19;1299;5196
Microsoft;Surface Laptop;Ultrabook;13,5;Touchscreen 2256x1504;Intel Core i7 7660U 2.5GHz;16;512GB SSD;Intel Iris Plus Graphics 640;Windows 10 S;1,25;2589;5178
Toshiba;Portege X30-D-10X;Notebook;13,3;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;128GB SSD;Intel HD Graphics 620;Windows 10;1,05;1285;5140
HP;EliteBook x360;2 in 1 Convertible;13,3;Full HD / Touchscreen 1920x1080;Intel Core i7 7600U 2.8GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,28;2559;5118
HP;EliteBook 1030;Notebook;13,3;Quad HD+ / Touchscreen 3200x1800;Intel Core M 6Y54 1.1GHz;8;256GB SSD;Intel HD Graphics 515;Windows 10;1,16;1699;5097
Asus;Rog Strix;Gaming;17,3;Full HD 1920x1080;AMD Ryzen 1600 3.2GHz;8;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3,2;1695;5085
Dell;Latitude 7280;Ultrabook;12,5;Full HD 1920x1080;Intel Core i7 7600U 2.8GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,6;1690;5070
Lenovo;ThinkPad X1;2 in 1 Convertible;14;Touchscreen 2560x1440;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1,42;2509;5018
Lenovo;ThinkPad T460;Notebook;14;1366x768;Intel Core i5 6200U 2.3GHz;4;508GB Hybrid;Intel HD Graphics 520;Windows 7;1,7;1002;5010
Lenovo;ThinkPad X1;2 in 1 Convertible;14;Touchscreen 2560x1440;Intel Core i7 6600U 2.6GHz;16;512GB SSD;Intel HD Graphics 520;Windows 10;1,36;2499;4998
MSI;GT72VR Dominator;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3,78;2499;4998
Asus;ROG Strix;Gaming;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2,3;1655;4965
Lenovo;Thinkpad X270;Ultrabook;12,5;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,36;1650;4950
Samsung;Notebook 9;Ultrabook;13,3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16;256GB SSD;Intel HD Graphics 620;Windows 10;0,81;1649;4947
Dell;Alienware 17;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4,42;2456,34;4912,68
Lenovo;ThinkPad X1;2 in 1 Convertible;14;IPS Panel Touchscreen 2560x1440;Intel Core i5 6200U 2.3GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1,36;1637;4911
Lenovo;ThinkPad X1;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1,14;2450;4900
HP;Spectre x360;2 in 1 Convertible;13,3;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16;1TB SSD;Intel UHD Graphics 620;Windows 10;1,29;2449;4898
Lenovo;Thinkpad T570;Workstation;15,6;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7600U 2.8GHz;16;512GB SSD;Nvidia GeForce 940MX;Windows 10;2,3;2445;4890
Dell;XPS 13;Ultrabook;13,3;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1,21;1629;4887
HP;Spectre Pro;2 in 1 Convertible;13,3;Full HD / Touchscreen 1920x1080;Intel Core i5 6300U 2.4GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1,48;1629;4887
Apple;MacBook Pro;Ultrabook;15,4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.8GHz;16;256GB SSD;AMD Radeon Pro 555;macOS;1,83;2439,97;4879,94
HP;ZBook 15;Workstation;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD;Nvidia Quadro M2200;Windows 10;2,6;2419;4838
Asus;Rog GL702VS-BA023T;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2,9;2419;4838
Dell;Precision M5520;Workstation;15,6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia Quadro M1200;Windows 10;1,78;2408;4816
Asus;Rog GL553VE-FY052T;Gaming;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2,5;1600;4800
MSI;GT72S Dominator;Gaming;17,3;Full HD 1920x1080;Intel Core i7 6820HQ 2.7GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;3,78;2399;4798
Asus;Rog GL702VM-GC354T;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2,7;1599;4797
Lenovo;Yoga 900-13ISK;2 in 1 Convertible;13,3;IPS Panel Quad HD+ / Touchscreen 3200x1800;Intel Core i5 6260U 1.8GHz;8;256GB SSD;Intel HD Graphics 540;Windows 10;1,3;1199;4796
Asus;Rog GL753VE-GC070T;Gaming;17,3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;3;1591;4773
Lenovo;ThinkPad T470s;Ultrabook;14;2560x1440;Intel Core i7 7500U 2.7GHz;24;512GB SSD;Intel HD Graphics 620;Windows 10;1,32;2382;4764
Lenovo;Thinkpad X270;Ultrabook;12,5;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1,36;1584;4752
