id,followers_count,wall_comments,comment_count,post_count,like_count,friends_count,group_count,posts_count,reposts_count,verified,videos_count,audios_count,photos_count,gifts_count
58,704,1,106,12298,5032,67,0,109,8639,0,301,0,668,18
59,86,1,1740,100,2077,132,210,44,13,0,572,0,1565,0
60,5,1,8,2966,164,44,0,85,350,0,568,390,245,104
61,0,1,480,54,3,28,0,11,2,0,24,20,585,7
62,11,1,1,1181,2021,48,160,10,762,0,174,44,365,0
63,1343,1,86,400,203,290,370,105,295,0,225,0,961,0
64,153,0,5,3415,51,27,0,117,297,0,455,0,3364,0
65,39,1,3,5261,1718,12,0,30,2929,0,0,0,17,0
66,12,1,2,3700,174,7,0,23,2471,0,4,0,18,6
67,53,1,29,900,938,151,560,9,367,0,1,0,1459,7
68,134,1,1,400,45,126,0,39,360,0,47,0,1408,19
69,465,1,398,5575,201,833,0,378,44,0,2110,3563,8596,131
70,74,1,122,500,648,28,0,29,254,0,336,0,59,15
71,50,1,23,1823,614,7,0,156,302,0,5,0,661,0
72,293,1,40,6000,112,157,162,96,3555,0,334,0,116,0
73,436,1,225,2994,506,21,0,350,58,0,1013,0,3166,0
74,82,1,9,700,1934,58,0,7,693,0,206,0,354,0
75,90,1,354,1999,2853,122,0,145,1854,0,2949,340,102,0
76,608,1,7,600,737,52,954,60,412,0,856,0,768,42
77,83,1,6,9200,1636,19,0,1052,8148,0,7156,10000,9702,0
78,2,1,11,699,494,33,238,8,420,0,62,0,12,0
79,51,1,1,599,114,16,168,26,390,0,9,0,210,0
80,94,1,16,6085,119,46,1138,439,2414,0,973,548,2903,26
81,10,1,3,2398,57,25,0,336,1331,0,50,137,1151,11
82,28,1,193,800,95,28,100,148,240,0,91,0,533,0
83,46,1,2,1637,911,21,0,20,624,0,21,102,124,6
84,12,0,4,842,21,19,0,13,806,0,14,24,974,2
85,27,1,45,3100,979,55,678,130,2194,0,193,0,643,0
86,80,0,97,1600,127,21,600,67,1081,0,100,0,322,14
87,8,1,33,1000,123,12,0,359,85,0,30,325,42,0
88,30,1,6,2199,359,44,370,78,2062,0,929,0,461,0
89,0,1,1179,100,45,98,0,0,13,0,22,364,7880,0
90,182,1,1365,258,26,32,506,189,51,0,172,0,430,37
91,30,1,9,1777,6237,78,0,39,1736,0,49,30,28,6
92,111,1,1800,647,35,197,26,4,16,0,49,1233,199,41
93,2761,1,446,1966,42,1226,1470,299,248,0,3820,1902,1516,23
94,659,1,33,2428,102,330,328,137,379,0,1721,1183,63,0
95,155,1,1,5821,85,119,0,60,400,0,584,0,350,0
96,84,1,2,2089,674,303,136,181,325,0,466,0,1668,0
97,585,1,7,31977,1740,6649,2060,105,4102,0,429,10000,709,0
98,10,1,33,13220,326,190,0,21,2262,0,860,1294,1513,9
99,102,1,102,700,109,986,374,113,227,0,653,781,691,0
100,454,1,67,4518,468,690,638,184,173,0,1422,0,885,0
101,21,1,9,400,110,277,662,56,344,0,417,115,443,0
102,289,1,120,1000,734,172,502,172,396,0,733,0,2793,48
103,218,1,671,100,1157,50,142,72,12,0,1157,10000,1454,0
104,35,1,75,6457,154,67,0,773,1189,0,1163,168,6732,39
105,69,1,8,1400,1015,16,0,4,878,0,185,0,520,0
106,133,1,346,500,234,252,186,392,107,0,239,0,8118,54
107,54,1,8,1700,842,18,0,1,1003,0,940,10001,228,8
108,179,1,62,700,106,130,278,97,402,0,34,1,1904,0
109,947,1,4,899,1935,441,1090,68,367,0,1307,0,3745,0
110,256,1,30,1328,52,81,0,40,615,0,38,0,121,0
111,78,1,391,200,253,73,280,9,78,0,35,0,14,0
112,563,1,10,1000,400,347,8868,11,660,0,36,166,1715,12
113,241,1,291,699,845,46,486,14,433,0,250,228,50,0
114,10,1,1,600,38,13,390,12,514,0,89,21,15,2
115,30,1,14,600,194,149,0,41,517,0,146,1097,11423,13
116,11,1,7,1353,11,35,0,305,227,0,245,271,1934,0
117,136,1,1032,200,12,48,594,4,96,0,407,0,1256,6
118,185,1,21,700,227,35,962,82,362,0,593,1548,841,105
119,51,1,2,2978,128,44,0,26,532,0,503,833,526,24
120,73,1,26,3091,1611,36,0,162,2301,0,476,564,33,16
121,26,1,812,61,186,15,58,10,47,0,316,0,68,10
122,0,0,307,8557,453,1,202,46,2209,0,70,82,1,1
123,9,1,21,733,224,10,0,372,340,0,16,26,171,0
124,143,1,9,983,293,11,0,10,959,0,1,204,60,0
125,72,1,3,1419,83,33,80,753,6,0,0,0,873,0
126,31,1,3,700,1513,27,0,47,428,0,122,0,448,2
127,104,1,2,1555,3,78,0,3,1110,0,31,414,3,38
128,22,1,744,1218,29,11,0,147,263,0,263,0,344,0
129,45,1,1,5700,35,3,0,67,4380,0,90,529,147,0
130,58,1,3,799,99,8,342,126,334,0,29,327,437,5
131,12,1,97,347,794,28,0,122,224,0,202,0,340,0
132,64,1,24,1000,3036,42,250,62,665,0,168,0,215,17
133,107,1,4,1600,1909,28,0,117,610,0,183,210,547,0
134,412,1,153,800,343,1,1876,82,429,0,458,1870,8,0
135,62,1,168,290,37,17,126,184,50,0,42,0,198,32
136,25,1,1,1700,629,383,0,9,1691,0,30,17,604,1
137,44,1,54,17211,68,15,400,623,16588,0,29,0,552,1
138,36,1,105,475,468,16,224,17,458,0,1,0,67,10
139,1336,1,12,4610,139,906,0,701,42,0,950,0,1276,0
140,5999,1,224,2505,924,5616,318,272,76,0,141,362,880,0
141,296,1,4,1472,64,276,246,257,116,0,5,87,1016,0
142,135,1,93,1557,4,156,0,520,27,0,1033,1322,11032,12
143,140,1,2,31282,4802,190,0,75,3746,0,624,448,2427,37
144,37,1,198,400,649,47,0,31,188,0,33,0,230,0
145,0,1,2060,100,56,200,94,5,14,0,257,0,22,0
146,129,0,1083,300,123,85,92,51,94,0,150,0,470,0
147,473,1,4914,54,1330,246,160,10,35,0,215,173,479,0
148,123,1,34,747,889,39,0,35,486,0,11,146,465,2
149,242,1,78,4772,614,117,0,43,479,0,603,0,53,20
150,203,1,78,12152,197,110,0,1,427,0,202,383,232,45
151,158,1,13,6306,132,215,1684,90,672,0,210,72,993,13
152,160,1,1915,2864,129,124,54,4,506,0,1609,481,120,0
153,196,1,6,1300,223,172,242,317,593,0,1691,0,166,0
154,215,1,5,1500,229,65,1842,25,818,0,444,1005,347,108
155,236,0,4323,6,33,27,0,3,2,0,26,0,24,0
156,75,1,1004,299,98,143,104,45,156,0,10,0,231,0
157,139,1,39,499,221,114,0,44,337,0,143,396,3847,91
158,704,1,284,500,274,658,532,361,139,0,1083,0,381,0
159,86,0,114,400,396,243,576,17,383,0,2494,0,2332,0
160,255,1,3,2119,74,84,0,255,142,0,203,0,1524,0
161,98,1,12,598,140,94,380,58,369,0,115,0,306,0
162,12,1,27,800,209,158,638,17,488,0,85,0,34,0
163,18,1,813,400,387,144,190,26,184,0,2281,0,227,0
164,13,1,4,3677,196,11,88,20,1857,0,23,4,501,0
165,2,1,8,3599,6,11,262,1500,1000,0,7,0,53,0
166,176,1,93,1400,641,17,0,240,584,0,126,357,30,0
167,54,1,1,1800,338,15,0,16,1374,0,1034,1388,3258,0
168,292,1,13,453,321,79,1270,136,317,0,1063,0,202,0
169,1,1,1,1554,282,13,0,1,1528,0,0,0,101,0
170,112,1,265,798,1380,12,666,6,505,0,72,0,1,3
171,168,1,16,1000,466,84,1150,258,319,0,474,0,200,0
172,746,1,7,7233,100,857,0,681,150,0,279,189,3099,290
173,135,1,5,3421,1576,16,0,151,394,0,104,0,647,0
174,69,1,55,26293,664,30,1310,68,4354,0,108,1257,131,0
175,72,1,1,600,176,9,0,11,363,0,17,687,12,11
176,15,1,58,1208,317,48,0,64,305,0,273,0,115,0
177,204,1,11,1000,108,287,0,12,767,0,5,334,26,0
178,19,1,2,685,536,11,0,114,506,0,13,26,298,5
179,17,1,1,816,85,9,0,124,692,0,51,0,282,0
180,40,1,3,549,104,3,196,32,517,0,0,0,0,0
181,71,1,4,1200,389,69,110,87,592,0,481,0,122,54
182,645,1,118,5220,1177,62,0,17,653,0,57,372,79,22
183,2768,1,106,902,176,2204,1722,88,374,0,685,966,571,0
184,345,1,52,1547,12,693,66,207,148,0,70,217,2621,16
185,1934,1,1,10750,4043,839,0,190,833,0,1255,933,2631,0
186,290,1,4,400,3167,268,830,17,383,0,908,0,96,28
187,184,1,19,407,216,219,224,20,387,0,383,0,101,0
188,276,1,16,600,632,277,1818,3,369,0,371,602,260,0
189,83,1,3,1999,112,118,0,135,568,0,285,3,641,10
190,23,1,71,400,407,272,294,112,288,0,66,0,1195,0
191,115,1,12,3393,117,236,0,85,1106,0,248,83,1993,0
192,173,1,211,2543,752,101,270,36,263,0,789,562,226,62
193,262,1,84,600,162,142,276,53,323,0,773,1154,114,0
194,233,1,15,15966,88,111,0,132,6752,0,8064,10004,3270,42
195,100,1,4,2100,144,103,1844,474,726,0,11,0,51,28
196,97,1,1,1300,134,123,774,53,626,0,768,0,267,0
197,276,1,38,3643,389,428,802,122,633,0,516,1208,2497,0
198,41,1,5,583,603,154,212,54,335,0,68,0,360,71
199,24,1,4416,200,145,435,140,41,28,0,90,0,495,0
200,37,1,5,500,47,141,494,31,331,0,26,35,158,9
201,136,1,2228,100,323,106,236,4,22,0,263,1034,118,0
202,97,1,3,2209,532,118,0,242,149,0,525,725,7916,0
203,773,1,1,1100,1125,208,164,98,870,0,63,0,2170,0
204,31,1,46,600,130,604,656,48,316,0,422,0,254,0
205,67,1,53,3900,156,85,1122,65,3030,0,115,595,114,38
206,48,1,1,700,718,25,0,28,535,0,7,0,183,0
207,221,1,26,1500,580,151,0,175,1211,0,5440,2636,3519,0
208,388,1,17,1000,328,103,312,370,332,0,60,1707,684,182
209,34,1,1,3540,504,21,0,49,2913,0,468,1850,1537,6
210,471,1,60,2100,241,103,0,124,645,0,261,0,233,0
211,7398,1,1,463,35,5,0,1,462,0,4,0,528,227
212,105,0,101,700,645,75,180,12,586,0,24,110,159,0
213,4787,1,5,1000,1120,29,552,88,585,0,133,198,192,0
214,544,1,29,399,397,172,1966,44,355,0,131,0,992,0
215,3,1,122,548,383,12,150,152,236,0,96,634,14,0
216,193,1,26,441,1260,51,0,86,328,0,2,39,33,27
217,8,1,32,500,865,126,548,45,454,0,271,0,895,0
218,125,1,3,2397,556,73,0,146,1924,0,79,0,13,0
219,7,1,2,370,31,6,0,13,353,0,2,0,546,0
220,92,1,2193,400,132,32,0,121,208,0,141,0,1462,12
221,22,1,16,3199,400,15,414,58,2494,0,150,538,131,9
222,20,1,465,739,38,57,0,22,349,0,7,199,132,21
223,3,1,6,622,55,20,322,70,552,0,18,0,83,1
224,153,1,17,1039,58,416,70,37,603,0,24,374,86,7
225,11,1,5,1099,49,235,0,9,752,0,0,0,19,0
226,131,1,153,500,306,117,268,238,179,0,12,509,351,11
227,5,1,13,801,184,85,198,75,404,0,326,0,6,0
228,198,1,32,900,917,210,180,39,641,0,324,0,1397,0
229,245,1,1,1666,11,535,90,18,482,0,28,0,81,19
230,7,1,439,3245,69,192,210,346,184,0,444,0,1062,0
231,593,1,76,400,10,1199,246,32,368,0,347,0,4462,0
232,79,1,4,1300,35,263,372,66,757,0,202,0,581,0
233,155,1,416,1200,210,659,554,232,740,0,1475,740,1798,58
234,641,1,30,6962,181,1605,0,430,639,0,1758,0,3971,0
235,1522,1,76,8060,1508,140,0,308,392,0,491,0,2039,42
236,39,1,76,399,141,13,258,20,379,0,1787,770,630,6
237,109,1,14,700,254,345,192,67,372,0,3115,330,1552,0
238,390,1,54,8385,547,1164,882,56,1042,0,3376,0,148,0
239,119,1,212,500,1360,406,268,44,456,0,749,0,2145,0
240,553,1,16,1100,332,97,380,5,674,0,3045,0,1,0
241,138,1,18,800,2601,252,844,149,651,0,142,0,2184,0
242,154,1,2,1500,371,164,1396,42,1095,0,126,0,78,29
243,24,1,126,2824,883,33,282,12,1963,0,3,0,74,1
244,1308,1,2,600,5522,1251,3204,66,534,0,1637,1423,3826,33
245,679,1,18,8649,1237,47,0,647,43,0,95,121,173,0
246,71,1,3,800,157,229,290,15,611,0,196,0,418,0
247,89,1,3,2004,85,44,0,92,777,0,168,144,1551,27
248,72,1,9,1000,137,18,0,5,389,0,641,1099,328,0
249,113,1,1,700,356,4,0,58,541,0,206,0,73,0
250,178,1,15,2399,423,155,500,29,379,0,728,1257,416,0
251,1985,1,171,500,228,16,282,87,208,0,119,1353,1447,0
252,66,1,13,4799,813,27,0,98,534,0,33,472,972,17
253,6,1,13,6382,361,46,1616,159,1738,0,240,0,1569,0
254,51,1,13,2941,155,16,0,40,321,0,1,31,80,5
255,152,1,237,600,1,417,56,38,548,0,47,0,905,0
256,61,1,8,700,392,2,644,3,656,0,968,0,30,0
257,20,1,689,200,241,27,0,74,0,0,199,149,1587,73
258,10,1,25,1599,507,37,0,41,874,0,314,0,179,0
259,301,1,12,900,37,104,0,2,634,0,2,24,21,2
260,37,1,44,6900,19,23,204,30,5222,0,41,159,461,0
261,164,1,7,599,153,204,354,96,503,0,58,0,50,0
262,62,1,3,400,597,54,228,2,361,0,5,653,285,15
263,60,1,1,4342,325,21,0,71,1728,0,3,331,92,15
264,222,1,55,400,1184,86,276,127,228,0,205,0,60,119
265,90,1,9,1572,3,465,0,1,372,0,0,0,21,2
266,35,1,1,7992,635,38,580,341,6689,0,7,27,538,8
267,129,1,692,174,988,30,168,10,164,0,40,0,57,0
268,69,1,13,1174,306,28,0,135,663,0,29,35,266,16
269,0,1,5,455,119,60,354,112,343,0,0,0,3,0
270,170,1,73,3254,2475,332,0,132,400,0,83,1262,4115,37
271,196,1,566,101,124,195,48,41,13,0,244,262,24,0
272,336,1,5,500,121,159,1006,41,459,0,167,0,297,0
273,1246,1,89,5907,4723,337,464,120,1062,0,444,0,462,0
274,391,1,214,198,437,208,0,72,126,0,75,0,1379,0
275,0,1,5,1138,63,535,56,18,393,0,64,4,13,0
276,150,1,1374,291,124,212,140,15,236,0,627,357,390,12
277,379,1,804,5873,149,447,188,281,183,0,166,412,1101,0
278,176,1,21,2827,2914,1444,402,108,566,0,340,950,332,0
279,1209,1,68,500,518,1027,332,216,284,0,633,138,1222,0
280,78,1,176,600,641,51,278,182,418,0,40,0,505,0
281,197,1,6787,200,387,486,168,12,188,0,1041,0,5126,0
282,49,1,6,1597,154,30,0,3,555,0,8,22,98,0
283,495,1,23,2400,1205,600,2154,99,1666,0,479,0,765,0
284,1156,1,543,300,1676,75,554,25,210,0,934,567,324,0
285,42,1,2,1000,108,82,100,50,540,0,229,9,817,13
286,132,0,16,700,856,50,284,121,395,0,6987,0,900,0
287,24,1,79,3300,463,83,214,14,2338,0,21,48,957,0
288,83,1,29,5043,1683,215,208,743,1445,0,712,0,6994,0
289,107,1,69,12729,128,126,622,10,486,0,1148,2168,327,0
290,112,1,11,2300,874,48,0,46,1365,0,4,0,21,0
291,19,1,17,1883,252,49,106,26,1168,0,31,48,386,1
292,204,1,4,900,163,712,406,210,410,0,77,0,1197,0
293,106,1,148,800,3607,217,324,0,800,0,248,0,807,0
294,1,1,286,199,318,339,290,10,110,0,123,0,51,0
295,54,1,476,134,168,9,0,74,4,0,8,0,283,0
296,28,1,831,1681,573,8,0,130,168,0,227,34,128,5
297,101,1,200,516,129,26,0,26,418,0,425,0,53,0
298,46,1,1,11906,805,32,0,49,4923,0,630,0,327,0
299,145,1,422,596,338,23,0,63,259,0,389,57,135,18
300,805,1,885,400,913,122,936,68,260,0,825,0,2227,0
301,126,1,12,600,269,59,618,65,387,0,551,0,27,0
302,163,1,63,1100,484,222,0,78,1022,0,1991,0,430,0
303,1094,1,335,2000,1125,257,2036,117,1255,0,459,3325,567,0
304,1,1,41,400,1255,1,0,7,362,0,56,95,16,0
305,43,1,29,1000,314,11,476,453,250,0,5,0,1920,0
306,129,1,21,5030,38,24,0,51,416,0,80,0,39,0
307,198,1,22,1399,528,86,642,11,697,0,2421,1206,462,0
308,0,0,85,700,9054,16,1310,22,678,0,5856,0,16,0
309,73,1,10,13300,173,133,0,3,6689,0,5,9,14,9
310,32,1,77,1400,614,13,0,103,717,0,2282,1049,1508,11
311,63,1,14,899,83,15,0,372,272,0,159,554,13,74
312,30,1,8,505,425,17,0,187,314,0,0,0,0,0
313,292,1,23,1200,386,315,512,25,999,0,2,295,88,11
314,131,1,3,700,537,47,0,4,579,0,371,0,17,0
315,163,1,16,600,841,46,0,2,598,0,0,0,83,0
316,19,1,1285,399,351,54,124,154,120,0,168,1092,1155,58
317,22,1,443,2000,338,23,52,98,1459,0,9,219,102,4
318,21,1,1,1399,785,66,228,13,950,0,92,0,315,0
319,1,1,6,1010,94,8,0,34,823,0,0,2,27,14
320,1,1,38,463,235,9,0,378,85,0,379,676,2574,2
321,13,0,41,600,890,94,146,23,355,0,512,0,105,0
322,69,1,4066,60,82,81,42,14,12,0,112,0,677,0
323,110,1,6,2345,541,127,0,57,651,0,219,477,284,52
324,688,1,151,600,1191,219,1414,50,550,0,1705,0,704,0
325,30,1,3,1000,6,33,0,719,38,0,36,387,1206,0
326,324,1,1,500,17,115,0,28,338,0,100,388,124,17
327,454,1,115,301,1929,296,1102,24,277,0,2822,0,107,0
328,153,0,1091,100,13,100,208,8,34,0,108,0,68,10
329,402,1,22,5610,6512,64,244,364,969,0,311,0,5635,0
330,57,1,2,599,74,113,32,4,595,0,11,44,20,17
331,393,1,1500,200,394,182,744,25,77,0,236,0,402,0
332,1105,1,29,1300,575,505,1040,452,534,0,3388,0,226,0
333,180,1,35,700,121,181,738,54,299,0,21,0,695,0
334,75,1,26,400,116,133,748,32,337,0,1097,0,670,0
335,1089,1,54,400,392,926,1220,213,187,0,2495,0,2536,0
336,614,1,34,3613,66,4215,238,117,262,0,932,1902,1852,103
337,47,1,7,1664,156,43,0,79,342,0,120,378,425,7
338,28,1,221,900,114,103,794,39,327,0,194,0,202,0
339,712,1,44,1200,503,421,2284,241,417,0,908,734,3780,393
340,72,1,1,3159,40,55,0,211,1081,0,195,94,1501,0
341,72,1,328,2100,1272,64,122,33,1512,0,48,147,132,9
342,69,1,4322,100,1842,215,120,5,29,0,250,1464,250,0
343,28,1,25,1530,431,63,0,107,424,0,42,0,944,0
344,346,1,26,1522,1164,165,688,4,710,0,1234,2,1986,26
345,10,1,754,22,5192,283,264,2,8,0,20,197,2,2
346,109,1,2,16410,560,30,0,174,4680,0,61,99,435,44
347,82,1,1585,100,49,645,678,13,2,0,1387,2525,601,95
348,314,1,14,1100,720,242,692,115,624,0,153,0,2133,50
349,684,1,43,799,1131,208,838,19,748,0,95,133,130,15
350,1051,0,447,200,404,11,0,3,52,0,3,0,12,0
351,43,1,40,796,207,60,146,2,542,0,21,39,154,0
352,27,1,1,500,419,49,86,480,1,0,32,0,4,0
353,95,1,233,400,8,11,72,177,4,0,13,1394,696,0
354,10,1,13,998,47,22,46,72,482,0,56,0,986,33
355,716,1,1,2700,401,102,1114,102,1885,0,493,1582,375,0
356,283,0,1,800,213,21,522,71,293,0,125,0,89,0
357,43,1,37,1700,343,7,0,134,1431,0,231,0,346,0
358,510,1,3,5761,1,1033,0,115,907,0,105,0,2709,0
359,143,1,16,700,94,47,0,7,451,0,6,208,284,0
360,91,1,2,1300,143,6,4882,246,380,0,6,0,165,0
361,324,1,1,451,20,12,522,9,441,0,3,0,4,0
362,438,1,503,104,341,10,1406,6,83,0,51,873,26,385
363,1,1,4,1099,323,245,2200,88,543,0,128,0,221,0
364,64,1,3,1499,69,58,564,54,1072,0,44,409,440,0
365,32,1,99,2821,486,87,0,74,699,0,42,154,1621,49
366,64,1,2759,19,119,106,180,1,4,0,87,127,143,10
367,68,0,246,800,1346,42,502,80,274,0,134,1338,75,0
368,27,0,2039,500,8315,7,82,0,500,0,2,0,46,0
369,696,1,28,6196,3349,484,0,380,48,0,500,0,1077,0
370,206,1,8,699,1076,10,178,18,681,0,125,0,325,0
371,289,1,37,999,26,5783,762,21,478,0,855,0,30,0
372,640,1,71,401,961,403,1724,15,386,0,176,0,2299,9
373,517,1,329,900,653,2459,996,40,634,0,1239,2625,1056,0
374,167,1,248,299,584,154,208,33,231,0,73,117,276,0
375,0,1,904,400,67,86,34,99,301,0,258,228,223,15
376,128,1,19,400,154,62,1054,43,357,0,151,0,47,34
377,345,0,2621,100,37,94,520,29,33,0,880,612,192,0
378,6162,1,39,399,435,118,72,5,382,0,13,0,1,0
379,214,1,788,100,40,34,0,36,28,0,86,214,607,18
380,221,1,1167,300,785,159,476,25,224,0,222,0,474,0
381,6,1,1650,305,136,62,0,53,1,0,282,116,797,5
382,796,1,3,800,454,954,372,42,644,0,53,110,19,0
383,53,1,203,3499,5345,166,156,39,1891,0,1321,741,914,49
384,0,1,564,399,431,129,658,72,222,0,1871,1226,138,0
385,86,1,75,1400,6015,81,0,32,769,0,263,1373,2235,43
386,122,1,9,899,392,12,0,22,421,0,119,537,900,155
387,94,1,53,900,208,1843,420,46,460,0,833,0,582,0
388,58,1,55,2403,2046,7,0,74,1203,0,7,0,257,0
389,161,1,3,2130,529,29,0,17,1182,0,145,0,31,0
390,66,1,198,600,713,62,116,66,534,0,53,163,675,7
391,91,1,7,2300,3719,185,148,57,1355,0,0,0,0,0
392,149,1,237,3700,34,50,0,931,19,0,458,0,6978,0
393,293,1,12,2400,1728,105,398,52,1827,0,129,0,817,30
394,17,0,22,500,335,77,170,16,484,0,7,0,79,0
395,13,1,583,9,50,14,24,2,0,0,17,0,3095,0
396,165,1,13,600,496,95,518,9,591,0,11,0,95,0
397,163,1,1,799,190,33,3136,0,459,0,12,0,442,0
398,101,1,4,3589,148,42,0,16,444,0,125,0,185,0
399,198,1,3,498,143,57,0,157,341,0,8,197,983,0
400,0,1,4,1100,398,202,1616,88,442,0,1197,0,300,0
401,79,1,3,1729,76,49,0,164,971,0,95,112,1497,9
402,192,1,2411,500,128,23,0,129,370,0,952,0,1105,0
403,61,1,4,498,43,35,22,10,388,0,24,0,73,55
404,13,1,9,500,464,25,160,58,312,0,0,0,320,0
405,77,0,11,8900,684,37,0,55,5374,0,142,6334,660,22
406,105,1,25,26237,260,632,0,11027,10,0,2486,28,35953,1
407,80,1,6,764,13,330,0,22,379,0,1,0,89,14
408,336,1,11143,100,4293,27,510,25,19,0,214,1,703,35
409,622,1,16,1000,851,149,2006,170,423,0,25,134,909,24
410,66,1,3,1000,407,365,0,108,754,0,81,1761,218,0
411,24,1,102,1790,268,16,0,49,286,0,60,64,4,12
412,34,0,1,800,1253,25,234,30,770,0,19,0,117,0
413,13,1,8,784,5593,6,0,167,321,0,0,0,0,0
414,194,1,7,9600,262,56,9814,284,5844,0,18,19,21,6
415,18,1,13,589,83,7,0,355,214,0,178,3089,404,0
416,32,1,10,400,42,14,0,268,130,0,0,433,357,3
417,146,1,3,1389,269,16,0,52,1311,0,1433,0,54,0
418,222,1,3,2061,45,433,0,230,252,0,161,1608,4661,10
419,1105,1,57,700,72,371,224,49,378,0,481,0,47,0
420,1326,1,27,9155,41,1776,0,406,228,0,6,64,5274,51
421,2550,1,236,1101,1097,371,1182,709,392,0,2542,3558,11618,408
422,155,1,87,13217,280,231,0,285,915,0,317,0,2501,0
423,2747,1,24,7514,9638,103,0,124,513,0,121,91,795,0
424,316,1,4,3201,410,172,0,10,1290,0,405,437,4959,0
425,112,1,58,698,463,150,0,51,376,0,62,267,511,9
426,484,1,345,200,135,385,190,48,50,0,269,0,554,0
427,166,1,9,1907,522,138,470,6,1142,0,1022,697,117,0
428,599,1,4,931,322,215,324,86,696,0,86,0,756,0
429,159,1,96,400,100,411,178,69,264,0,161,0,639,0
430,577,1,17,4601,171,94,0,109,1689,0,33,74,1465,56
431,604,1,13,9298,178,253,0,381,295,0,131,0,118,0
432,216,1,23,20445,2487,95,0,24,4234,0,155,0,256,11
433,134,1,6,3133,832,656,0,168,265,0,585,4083,3116,55
434,46,1,21,999,84,43,0,115,714,0,69,0,525,11
435,1672,1,2474,3606,218,2651,0,837,75,0,746,0,1594,0
436,1332,1,11,499,8,1708,176,3,496,0,51,34,1782,40
437,104,1,3,600,1199,64,104,14,586,0,175,515,142,0
